Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Metryka,Chrome 68.0.3440.106,Wejscie na strone + logowanie poprawne + z podzialem z komisja,2018-08-22 12:12:30,2018-08-22 12:13:24,"53,453s",PASSED
,,,,,,
Test Cases/Logowanie/Wejscie na strone,Chrome 68.0.3440.106,,2018-08-22 12:12:31,2018-08-22 12:13:04,"32,506s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 12:12:33,2018-08-22 12:12:41,"8,343s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login11.exe""",Chrome 68.0.3440.106,,2018-08-22 12:12:41,2018-08-22 12:12:41,"0,001s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-22 12:12:41,2018-08-22 12:12:41,"0,343s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 12:12:41,2018-08-22 12:13:00,"18,956s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 68.0.3440.106,,2018-08-22 12:13:00,2018-08-22 12:13:03,"3,013s",PASSED
doubleClick,Chrome 68.0.3440.106,,2018-08-22 12:13:03,2018-08-22 12:13:04,"0,609s",PASSED
,,,,,,
Test Cases/Logowanie/Logowanie poprawne,Chrome 68.0.3440.106,,2018-08-22 12:13:04,2018-08-22 12:13:09,"5,656s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login-correct.exe""",Chrome 68.0.3440.106,,2018-08-22 12:13:04,2018-08-22 12:13:04,"0,003s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-22 12:13:04,2018-08-22 12:13:04,"0,039s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 68.0.3440.106,,2018-08-22 12:13:04,2018-08-22 12:13:09,"5,002s",PASSED
,,,,,,
Test Cases/Metryka/Bez podzialu z komisja,Chrome 68.0.3440.106,,2018-08-22 12:13:09,2018-08-22 12:13:23,"14,027s",PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-22 12:13:11,2018-08-22 12:13:11,"0,486s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:11,2018-08-22 12:13:12,"0,434s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:12,2018-08-22 12:13:13,"1,196s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:13,2018-08-22 12:13:14,"0,640s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:14,2018-08-22 12:13:14,"0,345s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:14,2018-08-22 12:13:14,"0,454s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:14,2018-08-22 12:13:15,"0,311s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:15,2018-08-22 12:13:15,"0,362s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-22 12:13:15,2018-08-22 12:13:16,"0,771s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:16,2018-08-22 12:13:16,"0,244s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:16,2018-08-22 12:13:16,"0,437s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:16,2018-08-22 12:13:17,"0,597s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-22 12:13:17,2018-08-22 12:13:18,"0,684s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:18,2018-08-22 12:13:18,"0,217s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:18,2018-08-22 12:13:18,"0,466s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:18,2018-08-22 12:13:19,"0,324s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-22 12:13:19,2018-08-22 12:13:19,"0,695s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:19,2018-08-22 12:13:20,"0,448s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:20,2018-08-22 12:13:20,"0,247s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 12:13:20,2018-08-22 12:13:21,"0,550s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:21,2018-08-22 12:13:21,"0,281s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:21,2018-08-22 12:13:21,"0,332s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 12:13:21,2018-08-22 12:13:22,"0,875s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-22 12:13:22,2018-08-22 12:13:23,"1,340s",PASSED
