Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Metryka,Chrome 68.0.3440.106,Wejscie na strone + logowanie poprawne + z podzialem z komisja,2018-08-21 16:13:06,2018-08-21 16:13:53,"46,390s",PASSED
,,,,,,
Test Cases/Logowanie/Wejscie na strone,Chrome 68.0.3440.106,,2018-08-21 16:13:07,2018-08-21 16:13:34,"27,067s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 16:13:08,2018-08-21 16:13:12,"4,814s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login11.exe""",Chrome 68.0.3440.106,,2018-08-21 16:13:12,2018-08-21 16:13:12,"0,002s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-21 16:13:12,2018-08-21 16:13:13,"0,112s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 16:13:13,2018-08-21 16:13:31,"18,233s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 68.0.3440.106,,2018-08-21 16:13:31,2018-08-21 16:13:34,"3,013s",PASSED
doubleClick,Chrome 68.0.3440.106,,2018-08-21 16:13:34,2018-08-21 16:13:34,"0,301s",PASSED
,,,,,,
Test Cases/Logowanie/Logowanie poprawne,Chrome 68.0.3440.106,,2018-08-21 16:13:34,2018-08-21 16:13:40,"5,511s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login-correct.exe""",Chrome 68.0.3440.106,,2018-08-21 16:13:35,2018-08-21 16:13:35,"0,001s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-21 16:13:35,2018-08-21 16:13:35,"0,040s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 68.0.3440.106,,2018-08-21 16:13:35,2018-08-21 16:13:40,"5,008s",PASSED
,,,,,,
Test Cases/Metryka/Z podzialem z komisja,Chrome 68.0.3440.106,,2018-08-21 16:13:40,2018-08-21 16:13:53,"12,992s",PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-21 16:13:40,2018-08-21 16:13:40,"0,091s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:40,2018-08-21 16:13:41,"0,386s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:41,2018-08-21 16:13:42,"1,416s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:42,2018-08-21 16:13:43,"0,433s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:43,2018-08-21 16:13:43,"0,531s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:43,2018-08-21 16:13:44,"0,415s",PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-08-21 16:13:44,2018-08-21 16:13:44,"0,067s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:44,2018-08-21 16:13:44,"0,260s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:44,2018-08-21 16:13:44,"0,198s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:44,2018-08-21 16:13:44,"0,330s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:44,2018-08-21 16:13:45,"0,311s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:45,2018-08-21 16:13:45,"0,168s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:45,2018-08-21 16:13:45,"0,352s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:45,2018-08-21 16:13:46,"0,299s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:46,2018-08-21 16:13:46,"0,285s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:46,2018-08-21 16:13:46,"0,273s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-21 16:13:46,2018-08-21 16:13:47,"0,433s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:47,2018-08-21 16:13:47,"0,192s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:47,2018-08-21 16:13:47,"0,227s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:47,2018-08-21 16:13:48,"0,741s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-21 16:13:48,2018-08-21 16:13:48,"0,536s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:48,2018-08-21 16:13:48,"0,203s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:48,2018-08-21 16:13:49,"0,233s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:49,2018-08-21 16:13:49,"0,720s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-21 16:13:49,2018-08-21 16:13:50,"0,363s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:50,2018-08-21 16:13:50,"0,275s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:50,2018-08-21 16:13:50,"0,229s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 16:13:50,2018-08-21 16:13:50,"0,251s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:50,2018-08-21 16:13:51,"0,162s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:51,2018-08-21 16:13:51,"0,176s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 16:13:51,2018-08-21 16:13:52,"0,745s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 16:13:52,2018-08-21 16:13:53,"1,072s",PASSED
