Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Logowanie,Chrome 68.0.3440.106,Wejscie na strone + logowanie poprawne,2018-08-22 11:21:32,2018-08-22 11:22:22,"50,689s",PASSED
,,,,,,
Test Cases/Logowanie/Wejscie na strone,Chrome 68.0.3440.106,,2018-08-22 11:21:33,2018-08-22 11:22:15,"42,070s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 11:21:33,2018-08-22 11:21:50,"16,747s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login11.exe""",Chrome 68.0.3440.106,,2018-08-22 11:21:50,2018-08-22 11:21:50,"0,004s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-22 11:21:50,2018-08-22 11:21:50,"0,320s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 11:21:50,2018-08-22 11:22:11,"20,529s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 68.0.3440.106,,2018-08-22 11:22:11,2018-08-22 11:22:14,"3,013s",PASSED
doubleClick,Chrome 68.0.3440.106,,2018-08-22 11:22:14,2018-08-22 11:22:15,"0,624s",PASSED
,,,,,,
Test Cases/Logowanie/Logowanie bledne haslo,Chrome 68.0.3440.106,,2018-08-22 11:22:15,2018-08-22 11:22:21,"6,465s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login-fail1.exe""",Chrome 68.0.3440.106,,2018-08-22 11:22:15,2018-08-22 11:22:15,"0,004s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-22 11:22:15,2018-08-22 11:22:15,"0,081s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 68.0.3440.106,,2018-08-22 11:22:15,2018-08-22 11:22:20,"5,001s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 11:22:20,2018-08-22 11:22:21,"0,488s",PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-08-22 11:22:21,2018-08-22 11:22:21,"0,280s",PASSED
